dataset,mse,mae
moby,0.748,0.683
cascadia-code,0.035,0.099
ripgrep,1.022,0.72
iptv,5.619,1.347
lightning,3.253,1.426
portainer,0.9,0.779
clash,1.22,0.837
Kingfisher,0.175,0.29
async,0.66,0.541
modern-unix,0.02,0.063
appsmith,0.334,0.449
bitcoin,0.591,0.624
HowToCook,0.031,0.129
x64dbg,1.444,0.873
hackathon-starter,2.549,0.836
bevy,0.321,0.424
preact,0.328,0.463
ipfs,2.357,0.699
logseq,0.42,0.525
Ghost,2.555,1.298
playwright,0.532,0.551
awesome-rust,0.513,0.499
mattermost-server,2.434,0.993
xi-editor,0.149,0.2
redisson,3.629,1.14
envoy,0.336,0.455
docz,0.24,0.232
draft-js,0.153,0.224
localstack,1.448,0.946
awesome-mac,1.038,0.79
awesome-for-beginners,48.079,4.157
homebrew-cask,2.022,0.896
curl,1.824,0.991
certbot,0.885,0.758
calculator,0.49,0.536
syncthing,1.341,0.913
30-seconds-of-code,0.009,0.036
xxl-job,0.451,0.421
sherlock,15.69,2.673
animate.css,0.247,0.294
html5-boilerplate,0.416,0.504
nginxconfig.io,4.742,1.553
clashX,0.097,0.147
lottie-web,1.194,0.629
mocha,0.304,0.384
fd,3.176,1.256
localForage,0.132,0.172
freqtrade,1.38,0.927
system-design-primer,0.58,0.536
phaser,1.479,0.905
awesome-php,1.037,0.504
marktext,0.514,0.503
influxdb,0.349,0.443
Rocket.Chat,1.241,0.876
joplin,9.816,1.835
cockroach,0.861,0.773
ML-For-Beginners,0.016,0.069
spaCy,0.936,0.708
ava,0.426,0.503
tailwindcss,0.271,0.385
pkg,0.209,0.338
Java,22.77,2.931
chinese-poetry,0.265,0.264
protobuf,2.191,1.089
rocksdb,4.154,1.416
fastapi,2.971,1.265
open-source-mac-os-apps,2.564,0.923
python-telegram-bot,3.251,1.176
models,0.272,0.384
vuex,0.177,0.271
opencv,1.079,0.852
You-Dont-Know-JS,2.786,0.95
angular,0.488,0.527
appwrite,6.836,1.738
chalk,5.092,1.339
mastodon,321.015,7.901
react-router,4.094,1.356
react-router,4.094,1.356
NeteaseCloudMusicApi,0.337,0.376
iTerm2-Color-Schemes,5.344,1.233
godot,4.164,1.485
uptime-kuma,0.956,0.713
rollup,1.209,0.845
cheerio,0.357,0.426
vault,1.326,0.876
ember.js,0.609,0.64
clipboard.js,0.105,0.179
metasploit-framework,1.208,0.894
awesome-selfhosted,4.053,1.438
awesome-python,0.775,0.613
serenity,0.475,0.489
project-guidelines,0.077,0.086
pixijs,3.134,1.384
photoprism,1.606,0.772
awesome-go,2.639,1.163
howler.js,0.266,0.302
numpy,0.989,0.824
api-guidelines,0.674,0.581
You-Dont-Need-jQuery,8.023,0.55
googletest,1.259,0.909
powerlevel10k,0.27,0.398
hoppscotch,2.19,1.117
java-design-patterns,31.613,4.147
xgboost,1.601,1.003
learn-regex,1.795,0.77
go-micro,0.172,0.32
slick,0.373,0.366
ace,2.357,1.178
cpython,0.93,0.775
black,0.402,0.505
the-swift-programming-language-in-chinese,0.132,0.21
lerna,59.95,4.37
NewPipe,1.437,0.958
koa,0.724,0.57
Paddle,0.676,0.705
darknet,0.417,0.429
hexo,1.114,0.745
linkedin-skill-assessments-quizzes,16.501,2.74
profile-summary-for-github,2.064,1.112
nest,0.569,0.548
Javascript,27.549,3.328
spring-cloud-alibaba,1.137,0.767
thefuck,0.274,0.407
ray,1.363,0.979
Modernizr,52.29,3.242
react-native-web,1.916,0.871
How-To-Ask-Questions-The-Smart-Way,0.371,0.428
superset,0.147,0.302
yt-dlp,0.295,0.449
rancher,0.449,0.522
javascript-questions,19.397,0.992
supabase,1.196,0.806
consul,0.688,0.635
compose,1.342,0.886
go-zero,4.042,1.488
reactjs-interview-questions,0.304,0.289
open-source-ios-apps,0.959,0.689
python-fire,157.888,1.922
